"Site ID","Site Name",Province,Munciple,Locality,"Latitude ","Longitude ","Site Code",Vendor,"Responsible Area",Priority,"Priority Comment","Element Type",Model,MSC,MGW,BSC,RNC,Phase,"Service Date",Stage,"Sub Stage","Start Date",End_Date,"Created Date"
412,CIF,Luanda,Luanda,Maianga,-8.817922,13.229348,LD096,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:36"
413,"CIF Km30",Luanda,Viana,KM30,-8.9703,13.47496,VA343,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:36"
414,Cimianto,Luanda,Cacuaco,Cacuaco,-8.78094,13.3176,CA097,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:36"
415,"Cimianto 1",Luanda,Cacuaco,Kicolo,-8.779403,13.290635,CZ290,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:37"
416,CITIC,Luanda,Belas,"Kilamba Kiaxi",-9.00133,13.2634,BL098,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:37"
420,"Colegio Sao Benedito",Luanda,Luanda,"Terra Nova",-8.829111,13.261972,LD099,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:37"
429,Coreia_477,Luanda,Luanda,Kinanga,-8.82762,13.21585,LD349,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:38"
430,Corimba,Luanda,Luanda,"Rocha Pinto",-8.85063,13.20789,BL100,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:38"
431,"Corimba Norte",Luanda,Luanda,"Rocha Pinto",-8.843369,13.207608,LD101,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:38"
432,Correios,Luanda,Luanda,Ingombota,-8.812194,13.229527,LD102,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:39"
435,CTAP,Luanda,Luanda,Maianga,-8.81726,13.23018,LD104,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:39"
