"Old Site Id",BSC,RNC,"ID OSS","Nome do Site","Tipo de Site",Província,Município,Comuna,Localidade,"Data de Integração",Latitude,Longitude,Estado,Projecto,Vendor,2G,3G,4G,"Tipo RBS "
1508,,,1508,"Quissongo Fazenda Leoma",GreenField,"Cuanza Sul",Cassongue,Cassongue,Cassongue,,-10.165278,15.172778,Construído,"Sites c\ Infraestrutura",,,,,
942,,,942,Quissongue,GreenField,"Cuanza Sul",Libolo,Quissongue,Quissongue,,-10.031667,15.082778,Construído,"Sites c\ Infraestrutura",,,,,
,MGBSC01,MJRNC01,1538,"Rep. Xá Muteba",GreenField,"Lunda Sul","Xá - Muteba","Xá - Muteba","Xá - Muteba",12-10-2018,-9.383614,18.105531,Activo,23_BB_sem_bts,ZTE,x,x,,
943,,,943,"Samba Lucala",GreenField,"Cuanza Norte",Lucala,Lucala,Lucala,,-8.985556,15.583333,Construído,"Sites c\ Infraestrutura",,,,,
1384,,,1384,Sanga,GreenField,"Cuanza Sul",Ebo,Conde,Conde,,-10.855079,14.596645,Construído,"ROC / 2014",,,,,BS8800
289,LUBSC05,LURNC02,289,"São Brás 1",GreenField,Luanda,Quissama,Quissama,"São Brás",17-03-2020,-9.782853,13.287622,Activo,BB_com_bts,ZTE,x,x,,"RBS 6101"
238,MGBSC01,MJRNC01,238,Seminário,GreenField,Malanje,Malanje,Malanje,Malanje,16-03-2011,-9.541139,16.330778,Activo,Anterior,ZTE,x,x,,BS8800
96,LUCBSC1,LUTRNC1,LD240,"Seminário Maior",GreenField,Luanda,Luanda,Cassequel,Cassequel,26-09-2013,-8.834972,13.245933,Activo,Anterior,ERICSSON,x,x,x,"RBS 6102"
633,,,633,"Sete Casas",GreenField,Bié,Catabola,Chipeta,Chipeta,,-12.249611,17.165167,Construído,"Sites c\ Infraestrutura",,,,,
697,HLBSC01,HLRNC01,697,Subestação,GreenField,Huíla,Lubango,Lubango,Lubango,17-03-2014,-14.931444,13.501472,Activo,Anterior,ZTE,x,x,x,BS8800
816,BEBSC01,BERNC01,816,"Sumbe-FCKS 2",GreenField,"Cuanza Sul",Sumbe,Gangula,Gangula,12-09-2014,-11.19725,13.941277,Activo,"Melhoria da cobertura",ZTE,x,x,,BS8800
951,,,951,Terreiro,GreenField,"Cuanza Norte",Lucala,"Samba Lucala","Samba Lucala",,-8.432553,15.103289,Construído,"Sites c\ Infraestrutura",,,,,
257,MGBSC01,MJRNC01,257,"Uíge central",GreenField,Uíge,Uíge,Uíge,Uíge,11-02-2011,-7.61787,15.0583,Activo,Anterior,ZTE,x,x,,BS8800
728,LUTBSC2,LUCRNC1,VA256,"Viana 1º Maio DEE",GreenField,Luanda,Viana,Viana,Viana,12-07-2012,-8.91588,13.36713,Activo,Anterior,ERICSSON,x,x,x,"RBS 6101"
761,LUTBSC2,LUCRNC1,VA267,"Viana Sacrifício",GreenField,Luanda,Viana,Viana,"Bairro Sacrifício ",16-10-2014,-8.947194,13.353861,Activo,Anterior,ERICSSON,x,x,x,"RBS 6101"
1197,LUTBSC2,LUCRNC1,LD461,"Vila Flor Comissão ",GreenField,Luanda,Belas,Camama,Camama,13-12-2016,-8.98432,13.32667,Activo,Expansão_150/2014,ERICSSON,x,x,,
1138,LUTBSC2,LUCRNC1,BL428,"Vila Flor Comissão 2",GreenField,Luanda,Belas,Camama,Camama,07-02-2017,-9.00564,13.32225,Activo,Expansão_150/2014,ERICSSON,x,x,,
288,LUBSC05,LURNC02,288,"Vista da Lagoa 1",GreenField,Luanda,Quissama,"Cabo Ledo","Cabo Ledo",17-03-2020,-9.908953,13.3754804,Activo,BB_com_bts,ZTE,x,x,,"RBS 6301"
403,LUCBSC3,LUCRNC2,VA281,"Zango Boa Esperança",GreenField,Luanda,Viana,Zango,Zango,13-12-2019,-9.022861,13.370139,Activo,Balumuka,HUAWEI,x,x,x,"RBS 6101"
